,mukey,om,cec,ph
255,396161,3.0,20.0,6.0
256,399802,2.0,25.0,7.0
257,403266,0.0,17.0,7.0
258,403269,1.0,24.0,7.0
259,399792,4.0,20.0,7.0
260,2745864,4.0,20.0,6.0
261,403266,0.0,35.0,6.0
262,435686,2.0,12.0,8.0
263,403232,2.0,25.0,7.0
264,2745864,1.0,26.0,7.0
265,399800,2.0,20.0,6.0
266,399796,6.0,26.0,6.0
267,399800,0.0,17.0,8.0
268,403266,2.0,20.0,6.0
269,399796,4.0,22.0,6.0
270,403266,0.0,35.0,6.0
271,1150810,0.0,14.0,8.0
272,399803,2.0,23.0,6.0
273,403266,2.0,13.0,6.0
274,3004698,0.0,17.0,7.0
275,399776,0.0,15.0,8.0
276,403266,2.0,25.0,6.0
277,396157,4.0,29.0,6.0
278,399778,0.0,21.0,8.0
279,403266,0.0,20.0,6.0
280,1596035,0.0,9.0,8.0
281,2745864,2.0,21.0,7.0
282,2668945,3.0,19.0,6.0
283,399787,3.0,18.0,7.0
284,3182568,2.0,25.0,7.0
285,403266,2.0,12.0,7.0
286,403266,4.0,19.0,6.0
287,399800,3.0,20.0,6.0
288,1150813,0.0,12.0,8.0
289,399809,0.0,28.0,7.0
290,403266,2.0,25.0,6.0
291,403232,1.0,13.0,7.0
292,2669022,1.0,18.0,8.0
293,399803,4.0,20.0,7.0
294,403266,0.0,18.0,6.0
295,3182556,0.0,18.0,8.0
296,399802,0.0,18.0,7.0
297,3182562,0.0,18.0,8.0
298,399803,2.0,25.0,7.0
299,403212,2.0,9.0,6.0
300,403266,2.0,13.0,6.0
301,2745864,1.0,35.0,7.0
302,2669022,1.0,26.0,7.0
303,403268,1.0,18.0,6.0
304,403268,1.0,20.0,6.0
305,396132,7.0,31.0,7.0
306,403234,0.0,21.0,7.0
307,399778,1.0,22.0,8.0
308,403232,0.0,15.0,8.0
309,2668945,1.0,31.0,7.0
310,403232,0.0,16.0,7.0
311,399804,0.0,17.0,7.0
312,403266,0.0,12.0,7.0
313,1150813,2.0,19.0,7.0
314,403266,2.0,25.0,6.0
315,2669022,2.0,19.0,8.0
316,403269,0.0,16.0,7.0
317,3182562,0.0,18.0,8.0
318,3182557,0.0,18.0,8.0
319,403266,0.0,35.0,6.0
320,403268,0.0,35.0,6.0
321,396132,2.0,18.0,7.0
322,396132,2.0,34.0,7.0
323,399778,2.0,17.0,8.0
324,396153,0.0,22.0,8.0
325,403232,0.0,12.0,7.0
326,2669022,0.0,12.0,8.0
327,403232,2.0,25.0,7.0
